110000=中国,,北京市
110101=中国,,北京市,东城区
110102=中国,,北京市,西城区
110105=中国,,北京市,朝阳区
110106=中国,,北京市,丰台区
110107=中国,,北京市,石景山区
110108=中国,,北京市,海淀区
110109=中国,,北京市,门头沟区
110111=中国,,北京市,房山区
110112=中国,,北京市,通州区
110113=中国,,北京市,顺义区
110114=中国,,北京市,昌平区
110115=中国,,北京市,大兴区
110116=中国,,北京市,怀柔区
110117=中国,,北京市,平谷区
110118=中国,,北京市,密云区
110119=中国,,北京市,延庆区
120000=中国,,天津市
120101=中国,,天津市,和平区
120102=中国,,天津市,河东区
120103=中国,,天津市,河西区
120104=中国,,天津市,南开区
120105=中国,,天津市,河北区
120106=中国,,天津市,红桥区
120110=中国,,天津市,东丽区
120111=中国,,天津市,西青区
120112=中国,,天津市,津南区
120113=中国,,天津市,北辰区
120114=中国,,天津市,武清区
120115=中国,,天津市,宝坻区
120116=中国,,天津市,滨海新区
120117=中国,,天津市,宁河区
120118=中国,,天津市,静海区
120119=中国,,天津市,蓟州区
130000=中国,河北省
130100=中国,河北省,石家庄市
130102=中国,河北省,石家庄市,长安区
130104=中国,河北省,石家庄市,桥西区
130105=中国,河北省,石家庄市,新华区
130107=中国,河北省,石家庄市,井陉矿区
130108=中国,河北省,石家庄市,裕华区
130109=中国,河北省,石家庄市,藁城区
130110=中国,河北省,石家庄市,鹿泉区
130111=中国,河北省,石家庄市,栾城区
130121=中国,河北省,石家庄市,井陉县
130123=中国,河北省,石家庄市,正定县
130125=中国,河北省,石家庄市,行唐县
130126=中国,河北省,石家庄市,灵寿县
130127=中国,河北省,石家庄市,高邑县
130128=中国,河北省,石家庄市,深泽县
130129=中国,河北省,石家庄市,赞皇县
130130=中国,河北省,石家庄市,无极县
130131=中国,河北省,石家庄市,平山县
130132=中国,河北省,石家庄市,元氏县
130133=中国,河北省,石家庄市,赵县
130183=中国,河北省,石家庄市,晋州市
130184=中国,河北省,石家庄市,新乐市
130200=中国,河北省,唐山市
130202=中国,河北省,唐山市,路南区
130203=中国,河北省,唐山市,路北区
130204=中国,河北省,唐山市,古冶区
130205=中国,河北省,唐山市,开平区
130207=中国,河北省,唐山市,丰南区
130208=中国,河北省,唐山市,丰润区
130209=中国,河北省,唐山市,曹妃甸区
130223=中国,河北省,唐山市,滦县
130224=中国,河北省,唐山市,滦南县
130225=中国,河北省,唐山市,乐亭县
130227=中国,河北省,唐山市,迁西县
130229=中国,河北省,唐山市,玉田县
130281=中国,河北省,唐山市,遵化市
130283=中国,河北省,唐山市,迁安市
130300=中国,河北省,秦皇岛市
130302=中国,河北省,秦皇岛市,海港区
130303=中国,河北省,秦皇岛市,山海关区
130304=中国,河北省,秦皇岛市,北戴河区
130306=中国,河北省,秦皇岛市,抚宁区
130321=中国,河北省,秦皇岛市,青龙满族自治县
130322=中国,河北省,秦皇岛市,昌黎县
130324=中国,河北省,秦皇岛市,卢龙县
130400=中国,河北省,邯郸市
130402=中国,河北省,邯郸市,邯山区
130403=中国,河北省,邯郸市,丛台区
130404=中国,河北省,邯郸市,复兴区
130406=中国,河北省,邯郸市,峰峰矿区
130407=中国,河北省,邯郸市,肥乡区
130408=中国,河北省,邯郸市,永年区
130423=中国,河北省,邯郸市,临漳县
130424=中国,河北省,邯郸市,成安县
130425=中国,河北省,邯郸市,大名县
130426=中国,河北省,邯郸市,涉县
130427=中国,河北省,邯郸市,磁县
130430=中国,河北省,邯郸市,邱县
130431=中国,河北省,邯郸市,鸡泽县
130432=中国,河北省,邯郸市,广平县
130433=中国,河北省,邯郸市,馆陶县
130434=中国,河北省,邯郸市,魏县
130435=中国,河北省,邯郸市,曲周县
130481=中国,河北省,邯郸市,武安市
130500=中国,河北省,邢台市
130502=中国,河北省,邢台市,桥东区
130503=中国,河北省,邢台市,桥西区
130521=中国,河北省,邢台市,邢台县
130522=中国,河北省,邢台市,临城县
130523=中国,河北省,邢台市,内丘县
130524=中国,河北省,邢台市,柏乡县
130525=中国,河北省,邢台市,隆尧县
130526=中国,河北省,邢台市,任县
130527=中国,河北省,邢台市,南和县
130528=中国,河北省,邢台市,宁晋县
130529=中国,河北省,邢台市,巨鹿县
130530=中国,河北省,邢台市,新河县
130531=中国,河北省,邢台市,广宗县
130532=中国,河北省,邢台市,平乡县
130533=中国,河北省,邢台市,威县
130534=中国,河北省,邢台市,清河县
130535=中国,河北省,邢台市,临西县
130581=中国,河北省,邢台市,南宫市
130582=中国,河北省,邢台市,沙河市
130600=中国,河北省,保定市
130602=中国,河北省,保定市,竞秀区
130606=中国,河北省,保定市,莲池区
130607=中国,河北省,保定市,满城区
130608=中国,河北省,保定市,清苑区
130609=中国,河北省,保定市,徐水区
130623=中国,河北省,保定市,涞水县
130624=中国,河北省,保定市,阜平县
130626=中国,河北省,保定市,定兴县
130627=中国,河北省,保定市,唐县
130628=中国,河北省,保定市,高阳县
130629=中国,河北省,保定市,容城县
130630=中国,河北省,保定市,涞源县
130631=中国,河北省,保定市,望都县
130632=中国,河北省,保定市,安新县
130633=中国,河北省,保定市,易县
130634=中国,河北省,保定市,曲阳县
130635=中国,河北省,保定市,蠡县
130636=中国,河北省,保定市,顺平县
130637=中国,河北省,保定市,博野县
130638=中国,河北省,保定市,雄县
130681=中国,河北省,保定市,涿州市
130683=中国,河北省,保定市,安国市
130684=中国,河北省,保定市,高碑店市
130700=中国,河北省,张家口市
